chr	ptel	cen_start	cen	cen_end	qtel
1	10000	121100000	124300000	128000000	248946422
2	10000	91000000	93300000	95700000	242183529
3	10000	89400000	91700000	93200000	198285559
4	10000	48700000	50700000	52400000	190204555
5	10000	45800000	47700000	50500000	181528259
6	10000	58400000	60500000	63400000	170795979
7	10000	57400000	59100000	61100000	159335973
8	10000	43200000	45200000	48100000	145128636
9	10000	46700000	51800000	60300000	138384717
10	10000	38800000	40300000	42100000	133787422
11	10000	51400000	52900000	56400000	135076622
12	10000	33200000	35400000	36500000	133265309
13	10000	13500000	16000000	18400000	114354328
14	10000	13600000	15600000	19100000	107033718
15	10000	14100000	17000000	18400000	101981189
16	10000	34400000	38200000	40700000	90328345
17	10000	22100000	22200000	23200000	83247441
18	10000	15400000	16100000	17300000	80363285
19	10000	26700000	28500000	30200000	58607616
20	10000	25700000	27100000	28400000	64434167
21	10000	10000000	12300000	13200000	46699983
22	10000	9600000	11800000	16300000	50808468
X	10000	56600000	59500000	65000000	156030895
Y	10000	11200000	11300000	12500000	57217415
